Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
  158	 42.246572	 42.549476	 42.024405	 42.257357	     	  0.977466	  0.956301	  0.959303	  0.970911	     
  159	 41.816956	 41.797404	 41.113640	 41.688368	  min	  0.976207	  0.951162	  0.952439	  0.968072	     
  160	 42.012719	 42.600401	 42.049580	 42.111562	     	  0.975975	  0.955856	  0.959214	  0.969828	     
  161	 41.750780	 41.750559	 41.073280	 41.630231	  min	  0.975753	  0.949947	  0.951595	  0.967425	     
  162	 41.944994	 42.270506	 41.852560	 41.981847	     	  0.975799	  0.953240	  0.957426	  0.968977	     
  163	 41.521968	 41.628230	 41.029597	 41.453117	  min	  0.974664	  0.948630	  0.950996	  0.966381	     
  164	 41.837827	 42.330607	 41.892798	 41.925451	     	  0.974583	  0.952945	  0.957512	  0.968131	     
  165	 41.510911	 41.629255	 41.000119	 41.440600	  min	  0.974265	  0.947985	  0.950381	  0.965905	     
  166	 41.840292	 42.143293	 41.755281	 41.874900	     	  0.974504	  0.951528	  0.956148	  0.967615	     
  167	 41.352100	 41.612826	 41.036124	 41.339667	  min	  0.973232	  0.947495	  0.950491	  0.965152	     
  168	 41.711539	 42.219611	 41.844551	 41.814495	     	  0.973255	  0.951517	  0.956926	  0.966911	     
  169	 41.338611	 41.539924	 40.990291	 41.311040	  min	  0.972877	  0.946420	  0.949917	  0.964641	     
  170	 41.687140	 41.940160	 41.540093	 41.703207	     	  0.973301	  0.949361	  0.954221	  0.966131	     
  171	 41.276726	 41.532062	 41.032243	 41.276139	  min	  0.972357	  0.946235	  0.950242	  0.964318	     
  172	 41.601026	 42.106539	 41.763431	 41.708445	     	  0.972187	  0.950153	  0.956218	  0.965853	     
  173	 41.242752	 41.529947	 41.022981	 41.251507	  min	  0.971586	  0.945893	  0.950045	  0.963714	     
  174	 41.637284	 41.788380	 41.378758	 41.617682	     	  0.972123	  0.947511	  0.952850	  0.964809	     
